file_name,class,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
s6_65.tif,EpsonV370-1,1236,1754,0.705,6353.53,245.494,33.955,-4.047,15.324,1.658,0.038
s6_37.tif,EpsonV370-1,2480,3508,0.707,25495.07,248.334,26.289,-5.781,33.604,2.068,0.015
s6_55.tif,EpsonV370-1,2480,3508,0.707,25495.07,243.893,27.485,-3.562,14.231,2.596,0.018
s6_56.tif,EpsonV370-1,2480,3508,0.707,25495.07,241.302,33.741,-3.679,14.241,2.797,0.025
s6_57.tif,EpsonV370-1,2480,3508,0.707,25495.07,248.207,26.344,-5.453,29.824,1.947,0.016
s6_59.tif,EpsonV370-1,2480,3508,0.707,25495.07,243.976,34.728,-3.969,14.928,2.33,0.022
s7_1.tif,EpsonV370-2,1236,1754,0.705,6353.53,246.458,31.804,-4.603,20.598,1.856,0.032
s7_15.tif,EpsonV370-2,1236,1754,0.705,6353.53,248.212,26.55,-5.172,27.33,1.714,0.041
s7_17.tif,EpsonV370-2,1236,1754,0.705,6353.53,249.299,22.418,-5.656,34.022,1.801,0.039
s7_18.tif,EpsonV370-2,1236,1754,0.705,6353.53,252.037,15.692,-8.988,86.613,1.471,0.012
s7_24.tif,EpsonV370-2,1236,1754,0.705,6353.53,251.197,18.374,-6.812,48.941,1.374,0.026
s7_6.tif,EpsonV370-2,1236,1754,0.705,6353.53,252.232,15.162,-8.799,83.84,1.283,0.014
s7_8.tif,EpsonV370-2,1236,1754,0.705,6353.53,249.718,22.79,-6.188,39.725,1.745,0.026
s8_19.tif,EpsonV39-1,1240,1754,0.707,6374.08,250.483,24.728,-6.301,40.087,0.827,0.025
s8_20.tif,EpsonV39-1,1240,1754,0.707,6374.08,247.141,30.876,-4.651,21.45,1.466,0.045
s8_41.tif,EpsonV39-1,1240,1754,0.707,6374.08,244.842,38.611,-4.071,15.655,0.964,0.05
s8_43.tif,EpsonV39-1,1240,1754,0.707,6374.08,251.39,20.939,-6.85,48.832,0.671,0.026
s8_48.tif,EpsonV39-1,1240,1754,0.707,6374.08,251.267,16.751,-7.098,59.408,1.119,0.04
s8_51.tif,EpsonV39-1,1240,1754,0.707,6374.08,250.215,23.82,-5.795,34.633,0.783,0.032
s8_9.tif,EpsonV39-1,1240,1754,0.707,6374.08,248.524,29.323,-5.062,25.456,0.842,0.039
s8_10.tif,EpsonV39-1,2480,3508,0.707,25495.07,246.673,33.777,-4.224,16.572,1.066,0.015
s8_11.tif,EpsonV39-1,2480,3508,0.707,25495.07,247.709,32.066,-4.849,22.745,1.029,0.027
s8_12.tif,EpsonV39-1,2480,3508,0.707,25495.07,251.203,21.323,-7.704,60.835,1.153,0.009
s8_19.tif,EpsonV39-1,2480,3508,0.707,25495.07,250.091,26.516,-6.212,38.126,1.013,0.014
s8_9.tif,EpsonV39-1,2480,3508,0.707,25495.07,247.94,31.667,-4.955,23.749,1.09,0.022
s9_3.tif,EpsonV39-2,1240,1754,0.707,6374.08,249.453,26.857,-5.54,30.936,0.872,0.035
s9_10.tif,EpsonV39-2,2480,3508,0.707,25495.07,246.584,33.827,-4.221,16.543,1.151,0.015
s9_11.tif,EpsonV39-2,2480,3508,0.707,25495.07,247.635,32.043,-4.838,22.646,1.11,0.027
s9_13.tif,EpsonV39-2,2480,3508,0.707,25495.07,249.171,28.081,-5.667,31.71,1.254,0.019
s9_14.tif,EpsonV39-2,2480,3508,0.707,25495.07,249.063,29.097,-5.546,30.13,1.056,0.019
s9_16.tif,EpsonV39-2,2480,3508,0.707,25495.07,248.376,27.642,-4.999,25.199,1.284,0.025
s10_17.tif,EpsonV550,1239,1754,0.706,6368.94,250.25,21.728,-6.048,38.372,1.413,0.037
s10_21.tif,EpsonV550,1239,1754,0.706,6368.94,252.805,15.508,-9.324,91.707,0.853,0.014
s10_23.tif,EpsonV550,1239,1754,0.706,6368.94,250.848,20.055,-6.856,49.359,1.418,0.023
s10_86.tif,EpsonV550,2478,3508,0.706,25474.52,249.11,26.804,-5.538,29.878,1.58,0.013
s10_88.tif,EpsonV550,2478,3508,0.706,25474.52,248.707,25.976,-5.373,29.156,1.793,0.015
s10_89.tif,EpsonV550,2478,3508,0.706,25474.52,247.378,30.801,-4.719,21.704,1.516,0.028
s11_19.tif,HP,1240,1743,0.711,6334.1,240.523,23.696,-6.007,36.525,2.816,0.025
s11_22.tif,HP,1240,1743,0.711,6334.1,241.554,14.484,-9.607,99.945,2.691,0.011
s11_38.tif,HP,1240,1743,0.711,6334.1,239.702,20.481,-6.438,43.404,2.825,0.022
s11_59.tif,HP,1240,1743,0.711,6334.1,237.309,31.477,-4.163,16.705,3.02,0.037
s11_91.tif,HP,1240,1743,0.711,6334.1,238.511,26.556,-5.563,30.717,2.84,0.025
s11_92.tif,HP,1240,1743,0.711,6334.1,239.61,23.814,-6.132,38.135,2.834,0.023
s11_100.tif,HP,2481,3487,0.711,25352.67,239.073,21.712,-6.167,39.179,3.021,0.011
s11_30.tif,HP,2481,3487,0.711,25352.67,236.157,23.053,-4.277,18.258,3.23,0.015
s11_31.tif,HP,2481,3487,0.711,25352.67,231.279,33.782,-3.472,11.162,3.468,0.041
s11_32.tif,HP,2481,3487,0.711,25352.67,238.346,21.416,-5.945,36.853,3.078,0.02
s11_34.tif,HP,2481,3471,0.715,25236.34,237.778,20.109,-6.321,42.025,3.076,0.016
s11_38.tif,HP,2481,3487,0.711,25352.67,239.06,20.52,-6.371,42.444,3.025,0.013
s11_41.tif,HP,2481,3487,0.711,25352.67,232.373,35.872,-3.787,13.109,3.259,0.028
s11_42.tif,HP,2481,3487,0.711,25352.67,235.213,31.82,-4.155,16.134,3.158,0.013
s11_43.tif,HP,2481,3487,0.711,25352.67,239.211,20.87,-6.227,40.47,3.053,0.016
s11_45.tif,HP,2481,3487,0.711,25352.67,238.358,23.107,-5.748,33.69,3.068,0.018
s11_46.tif,HP,2481,3471,0.715,25236.34,235.803,25.911,-5.029,25.381,3.182,0.023
s11_47.tif,HP,2481,3487,0.711,25352.67,236.795,21.995,-4.99,27.186,3.279,0.034
s11_50.tif,HP,2481,3487,0.711,25352.67,236.681,23.03,-5.66,33.494,3.135,0.012
s11_51.tif,HP,2481,3471,0.715,25236.34,236.302,23.927,-5.326,29.028,3.142,0.019
s11_52.tif,HP,2481,3487,0.711,25352.67,225.468,33.719,-1.808,2.06,3.628,0.007
s11_53.tif,HP,2481,3471,0.715,25236.34,236.818,24.42,-5.152,27.336,3.136,0.013
s11_54.tif,HP,2481,3487,0.711,25352.67,237.357,18.937,-6.562,46.713,3.097,0.008
s11_55.tif,HP,2481,3487,0.711,25352.67,232.894,26.089,-3.655,14.46,3.469,0.018
s11_56.tif,HP,2481,3487,0.711,25352.67,233.242,31.095,-3.639,13.561,3.521,0.025
s11_57.tif,HP,2481,3471,0.715,25236.34,237.295,23.788,-5.415,29.689,3.116,0.016
s11_58.tif,HP,2481,3487,0.711,25352.67,236.892,20.102,-6.151,39.975,3.114,0.016
s11_59.tif,HP,2481,3487,0.711,25352.67,230.404,30.621,-4.007,15.39,3.328,0.021
s11_60.tif,HP,2481,3471,0.715,25236.34,238.254,21.374,-6.306,40.964,3.044,0.011
s11_61.tif,HP,2481,3487,0.711,25352.67,238.939,19.353,-6.628,46.446,3.02,0.014
s11_62.tif,HP,2481,3471,0.715,25236.34,236.274,26.518,-4.978,24.508,3.14,0.016
s11_63.tif,HP,2481,3487,0.711,25352.67,231.288,27.037,-4.447,19.738,3.438,0.018
s11_64.tif,HP,2481,3471,0.715,25236.34,229.992,30.676,-3.937,14.622,3.407,0.015
s11_65.tif,HP,2481,3471,0.715,25236.34,234.297,31.163,-4.025,15.133,3.229,0.021
s11_66.tif,HP,2481,3487,0.711,25352.67,233.028,34.367,-3.851,13.49,3.219,0.013
s11_67.tif,HP,2481,3471,0.715,25236.34,212.995,35.84,-1.332,1.583,4.225,0.011
s11_68.tif,HP,2481,3487,0.711,25352.67,236.071,28.289,-5.312,27.876,3.126,0.013
s11_70.tif,HP,2481,3487,0.711,25352.67,226.309,38.133,-3.307,9.754,3.5,0.048
s11_72.tif,HP,2481,3487,0.711,25352.67,234.776,28.961,-4.874,23.329,3.186,0.02
s11_73.tif,HP,2481,3487,0.711,25352.67,234.047,31.425,-4.264,17.534,3.304,0.024
s11_75.tif,HP,2481,3487,0.711,25352.67,238.541,18.572,-6.718,49.14,3.034,0.012
s11_76.tif,HP,2481,3487,0.711,25352.67,238.241,19.412,-7.112,54.959,3.067,0.007
s11_77.tif,HP,2481,3487,0.711,25352.67,234.319,30.316,-4.127,16.715,3.289,0.026
s11_79.tif,HP,2481,3471,0.715,25236.34,237.758,23.623,-5.812,34.861,3.123,0.017
s11_80.tif,HP,2481,3487,0.711,25352.67,237.553,24.435,-5.656,32.664,3.148,0.018
s11_81.tif,HP,2481,3487,0.711,25352.67,235.5,29.222,-4.586,20.596,3.198,0.028
s11_83.tif,HP,2481,3487,0.711,25352.67,236.662,27.085,-5.123,26.034,3.13,0.021
s11_84.tif,HP,2481,3487,0.711,25352.67,238.931,18.05,-7.203,57.815,3.106,0.013
s11_85.tif,HP,2481,3471,0.715,25236.34,235.764,24.578,-5.479,30.585,3.105,0.011
s11_86.tif,HP,2481,3471,0.715,25236.34,237.927,24.991,-5.206,26.797,3.07,0.013
s11_87.tif,HP,2481,3487,0.711,25352.67,236.782,23.666,-5.55,31.143,3.093,0.016
s11_88.tif,HP,2481,3487,0.711,25352.67,237.147,23.003,-5.128,27.425,3.133,0.015
s11_89.tif,HP,2481,3471,0.715,25236.34,233.948,28.181,-4.448,19.458,3.247,0.028
s11_91.tif,HP,2481,3471,0.715,25236.34,237.953,25.329,-5.414,29.086,3.036,0.014
s11_92.tif,HP,2481,3487,0.711,25352.67,238.213,23.081,-5.906,35.51,3.051,0.013
s11_94.tif,HP,2481,3487,0.711,25352.67,238.709,22.753,-6.013,36.731,3.021,0.012
s11_95.tif,HP,2481,3487,0.711,25352.67,237.162,20.215,-6.563,44.828,3.041,0.012
s11_97.tif,HP,2481,3471,0.715,25236.34,237.152,23.146,-5.584,32.229,3.122,0.014
s11_98.tif,HP,2481,3471,0.715,25236.34,232.539,33.057,-3.653,12.401,3.362,0.045
s11_99.tif,HP,2481,3471,0.715,25236.34,238.657,23.138,-5.903,35.815,3.082,0.012
